$Flow file for segment 34,,,,
To the right of the sum of flows are individual flows starting with QWD then QSTR,,,,
JDAY,PH,Spill,Fish,
4412.5,45.04,0,1.7,1/29/2012
4413.5,45.88,0,1.7,1/30/2012
4414.5,46.21,0.11,1.7,1/31/2012
4415.5,46.48,0.04,1.7,2/1/2012
4416.5,45.57,0,1.7,2/2/2012
4417.5,45.21,0,1.7,2/3/2012
4418.5,47.71,0,1.7,2/4/2012
4419.5,45.48,0,1.7,2/5/2012
4420.5,22.92,22.48,1.7,2/6/2012
4421.5,19.13,30.21,1.7,2/7/2012
4422.5,19.13,26.74,1.7,2/8/2012
4423.5,21.28,20.48,1.7,2/9/2012
4424.5,27.92,38.59,1.7,2/10/2012
4425.5,16.8,28.96,1.7,2/11/2012
4426.5,19.32,23.92,1.7,2/12/2012
4427.5,22.44,17.57,1.7,2/13/2012
4428.5,20.34,16.92,1.7,2/14/2012
4429.5,25.29,11.79,1.7,2/15/2012
4430.5,37.85,0,1.7,2/16/2012
4431.5,37.06,0,1.7,2/17/2012
4432.5,38.68,0,1.7,2/18/2012
4433.5,38.69,0,1.7,2/19/2012
4434.5,38.34,0,1.7,2/20/2012
4435.5,37.57,0,1.7,2/21/2012
4436.5,40.64,0,1.7,2/22/2012
4437.5,39.58,0,1.7,2/23/2012
4438.5,31.91,8.14,1.7,2/24/2012
4439.5,38.78,0,1.7,2/25/2012
4440.5,39.77,0,1.7,2/26/2012
4441.5,39.3,0.02,1.7,2/27/2012
4442.5,38.79,0.24,1.7,2/28/2012
4443.5,36.2,0,1.7,2/29/2012
4444.5,33.58,0,1.7,3/1/2012
4445.5,34.76,0,1.7,3/2/2012
4446.5,32.05,0,1.7,3/3/2012
4447.5,28.7,0,1.7,3/4/2012
4448.5,28.12,0,1.7,3/5/2012
4449.5,28.06,0,1.7,3/6/2012
4450.5,29.58,0,1.7,3/7/2012
4451.5,28.82,0,1.7,3/8/2012
4452.5,28.28,0,1.7,3/9/2012
4453.5,29.08,0,1.7,3/10/2012
4454.5,28.38,0,1.7,3/11/2012
4455.5,28.19,0,1.7,3/12/2012
4456.5,29.07,0,1.7,3/13/2012
4457.5,21.3,0,1.7,3/14/2012
4458.5,24.76,0,1.7,3/15/2012
4459.5,20.64,0,1.7,3/16/2012
4460.5,19.95,0,1.7,3/17/2012
4461.5,24.59,0,1.7,3/18/2012
4462.5,25.77,0,1.7,3/19/2012
4463.5,26.8,0,1.7,3/20/2012
4464.5,25.76,0,1.7,3/21/2012
4465.5,28.46,0,1.7,3/22/2012
4466.5,26.9,0,1.7,3/23/2012
4467.5,27.58,0,1.7,3/24/2012
4468.5,24.97,0,1.7,3/25/2012
4469.5,26.86,0,1.7,3/26/2012
4470.5,26.24,0,1.7,3/27/2012
4471.5,21.99,0,1.7,3/28/2012
4472.5,26.41,0,1.7,3/29/2012
4473.5,27.49,0,1.7,3/30/2012
4474.5,26.96,0,1.7,3/31/2012
4475.5,26.89,0,1.7,4/1/2012
4476.5,26.69,0,1.7,4/2/2012
4477.5,29.71,0,1.7,4/3/2012
4478.5,26.85,0,1.7,4/4/2012
4479.5,27.64,0,1.7,4/5/2012
4480.5,28.9,0,1.7,4/6/2012
4481.5,27.42,0,1.7,4/7/2012
4482.5,26.5,0,1.7,4/8/2012
4483.5,29.49,0,1.7,4/9/2012
4484.5,29.36,0,1.7,4/10/2012
4485.5,26.46,0,1.7,4/11/2012
4486.5,22.72,0,1.7,4/12/2012
4487.5,12.96,0,1.7,4/13/2012
4488.5,24.39,0,1.7,4/14/2012
4489.5,26.8,0,1.7,4/15/2012
4490.5,28.51,0,1.7,4/16/2012
4491.5,31.93,0,1.7,4/17/2012
4492.5,39.35,0,1.7,4/18/2012
4493.5,40.87,0,1.69,4/19/2012
4494.5,51.57,0,1.7,4/20/2012
4495.5,52.76,0,1.7,4/21/2012
4496.5,52.25,0,1.7,4/22/2012
4497.5,53.57,0,1.7,4/23/2012
4498.5,126.78,0,1.7,4/24/2012
4499.5,130.77,0,1.7,4/25/2012
4500.5,132.92,0,1.7,4/26/2012
4501.5,133.07,37.47,1.7,4/27/2012
4502.5,140.02,57.04,1.7,4/28/2012
4503.5,137.12,58.93,1.7,4/29/2012
4504.5,138.77,61.43,1.7,4/30/2012
4505.5,148.15,73.79,1.7,5/1/2012
4506.5,148.12,73.83,1.7,5/2/2012
4507.5,149.25,74.22,1.7,5/3/2012
4508.5,148.99,61.17,1.7,5/4/2012
4509.5,146.88,33.95,1.7,5/5/2012
4510.5,146.87,15.55,1.7,5/6/2012
4511.5,146.34,9.18,1.7,5/7/2012
4512.5,145.48,0,1.7,5/8/2012
4513.5,137.85,0,1.7,5/9/2012
4514.5,124.51,0,1.7,5/10/2012
4515.5,112.97,0,1.7,5/11/2012
4516.5,108.05,0,1.7,5/12/2012
4517.5,106.94,0,1.7,5/13/2012
4518.5,105.51,0,1.7,5/14/2012
4519.5,98.61,0,1.7,5/15/2012
4520.5,88.7,0,1.7,5/16/2012
4521.5,81.26,0,1.7,5/17/2012
4522.5,80.78,0,1.7,5/18/2012
4523.5,80.86,0,1.7,5/19/2012
4524.5,79.13,0,1.7,5/20/2012
4525.5,80.29,0,1.7,5/21/2012
4526.5,73.37,0,1.7,5/22/2012
4527.5,59.56,0,1.7,5/23/2012
4528.5,51.5,0,1.7,5/24/2012
4529.5,52.59,0,1.7,5/25/2012
4530.5,52.98,0,1.7,5/26/2012
4531.5,52.7,0,1.7,5/27/2012
4532.5,52.95,0,1.7,5/28/2012
4533.5,52.51,0,1.7,5/29/2012
4534.5,52.48,0,1.7,5/30/2012
4535.5,53.21,0,1.7,5/31/2012
4536.5,52.13,0.02,1.7,6/1/2012
4537.5,52.88,0,1.7,6/2/2012
4538.5,53.25,0,1.7,6/3/2012
4539.5,52.45,0,1.7,6/4/2012
4540.5,52.57,0,1.7,6/5/2012
4541.5,52.51,0,1.7,6/6/2012
4542.5,78.63,0,1.7,6/7/2012
4543.5,79.35,0,1.7,6/8/2012
4544.5,80.42,0,1.7,6/9/2012
4545.5,79.1,0,1.7,6/10/2012
4546.5,79.89,0,1.7,6/11/2012
4547.5,79.63,0,1.7,6/12/2012
4548.5,79.77,0,1.7,6/13/2012
4549.5,78.78,0,1.7,6/14/2012
4550.5,78.81,0,1.7,6/15/2012
4551.5,102.4,0,1.7,6/16/2012
4552.5,106.11,0,1.7,6/17/2012
4553.5,108.02,0,1.7,6/18/2012
4554.5,108.1,0,1.7,6/19/2012
4555.5,107.13,0,1.7,6/20/2012
4556.5,107.79,0,1.7,6/21/2012
4557.5,102.78,4.81,1.7,6/22/2012
4558.5,107.15,0,1.7,6/23/2012
4559.5,106.78,0,1.7,6/24/2012
4560.5,106.71,0,1.7,6/25/2012
4561.5,108.09,0,1.7,6/26/2012
4562.5,107.63,0,1.7,6/27/2012
4563.5,107.91,0,1.7,6/28/2012
4564.5,109,0,1.7,6/29/2012
4565.5,107.91,0,1.7,6/30/2012
4566.5,106.85,0,1.7,7/1/2012
4567.5,106.08,0,1.7,7/2/2012
4568.5,108.99,0,1.7,7/3/2012
4569.5,110.19,0,1.7,7/4/2012
4570.5,109.92,0,1.7,7/5/2012
4571.5,109.06,0,1.7,7/6/2012
4572.5,110.83,0,1.7,7/7/2012
4573.5,109.75,0,1.7,7/8/2012
4574.5,110.75,0,1.7,7/9/2012
4575.5,108.21,0,1.7,7/10/2012
4576.5,110.61,0,1.7,7/11/2012
4577.5,110.46,0,1.7,7/12/2012
4578.5,110.53,0.18,1.7,7/13/2012
4579.5,110.52,0,1.7,7/14/2012
4580.5,110.6,0,1.7,7/15/2012
4581.5,121.78,0,1.7,7/16/2012
4582.5,108.99,12.56,1.7,7/17/2012
4583.5,121.76,0,1.7,7/18/2012
4584.5,120.44,0,1.7,7/19/2012
4585.5,121.84,0,1.7,7/20/2012
4586.5,121.75,0,1.7,7/21/2012
4587.5,122.38,0.04,1.7,7/22/2012
4588.5,117.41,0,1.7,7/23/2012
4589.5,123.25,0,1.7,7/24/2012
4590.5,126.01,0,1.7,7/25/2012
4591.5,120.94,0,1.7,7/26/2012
4592.5,123.73,0,1.7,7/27/2012
4593.5,121.46,0,1.7,7/28/2012
4594.5,121.62,0,1.7,7/29/2012
4595.5,121.63,0,1.7,7/30/2012
4596.5,121.81,0.03,1.7,7/31/2012
4597.5,119.78,0,1.7,8/1/2012
4598.5,120.71,0,1.7,8/2/2012
4599.5,121.82,0,1.7,8/3/2012
4600.5,122.93,0,1.7,8/4/2012
4601.5,120.76,0,1.7,8/5/2012
4602.5,123.88,0,1.7,8/6/2012
4603.5,124.82,0,1.7,8/7/2012
4604.5,122.67,0,1.7,8/8/2012
4605.5,72.85,3.93,1.7,8/9/2012
4606.5,113.01,0,1.7,8/10/2012
4607.5,100.95,0,1.7,8/11/2012
4608.5,87.13,0,1.7,8/12/2012
4609.5,83.45,0,1.7,8/13/2012
4610.5,76.23,6.79,1.7,8/14/2012
4611.5,74.46,0,1.7,8/15/2012
4612.5,74.8,0,1.7,8/16/2012
4613.5,70.51,0,1.7,8/17/2012
4614.5,68.68,0,1.7,8/18/2012
4615.5,69.68,0,1.7,8/19/2012
4616.5,68.45,0,1.7,8/20/2012
4617.5,68.67,0,1.7,8/21/2012
4618.5,67.5,0,1.7,8/22/2012
4619.5,66.92,0,1.7,8/23/2012
4620.5,63.06,0,1.7,8/24/2012
4621.5,61.15,0,1.7,8/25/2012
4622.5,62.63,0,1.7,8/26/2012
4623.5,95.59,2.5,1.7,8/27/2012
4624.5,60.96,0,1.7,8/28/2012
4625.5,60.76,0,1.7,8/29/2012
4626.5,61.59,0,1.7,8/30/2012
4627.5,54.12,0,1.7,8/31/2012
4628.5,53,0,1.7,9/1/2012
4629.5,52.21,0,1.7,9/2/2012
4630.5,54.58,0,1.7,9/3/2012
4631.5,53.77,0,1.7,9/4/2012
4632.5,52.68,0,1.7,9/5/2012
4633.5,53.14,0,1.7,9/6/2012
4634.5,54.3,0,1.7,9/7/2012
4635.5,54.13,0,1.7,9/8/2012
4636.5,53.59,0,1.7,9/9/2012
4637.5,51.86,0,1.7,9/10/2012
4638.5,52.49,0,1.7,9/11/2012
4639.5,54.4,0,1.7,9/12/2012
4640.5,52.83,0,1.7,9/13/2012
4641.5,50.2,0,1.7,9/14/2012
4642.5,52.29,0,1.7,9/15/2012
4643.5,77.28,0,1.7,9/16/2012
4644.5,51.74,0,1.7,9/17/2012
4645.5,48.6,0,1.7,9/18/2012
4646.5,46.26,0,1.7,9/19/2012
4647.5,47.48,0,1.7,9/20/2012
4648.5,48.19,0,1.7,9/21/2012
4649.5,49.64,0,1.7,9/22/2012
4650.5,48.86,0,1.7,9/23/2012
4651.5,48.74,0,1.7,9/24/2012
4652.5,46.33,0.11,1.7,9/25/2012
4653.5,49.47,0,1.7,9/26/2012
4654.5,53.42,0,1.7,9/27/2012
4655.5,46.4,0,1.7,9/28/2012
4656.5,49.58,0,1.7,9/29/2012
4657.5,45.79,0,1.7,9/30/2012
4658.5,38.81,0.51,1.61,10/1/2012
4659.5,45.67,0,1.7,10/2/2012
4660.5,47.7,0,1.7,10/3/2012
4661.5,47.9,0,1.7,10/4/2012
4662.5,37.56,0,1.7,10/5/2012
4663.5,53.63,0,1.7,10/6/2012
4664.5,52.36,0,1.7,10/7/2012
4665.5,54.67,0,1.7,10/8/2012
4666.5,65.29,0,1.7,10/9/2012
4667.5,62.3,0,1.7,10/10/2012
4668.5,39.19,0,1.7,10/11/2012
4669.5,39.47,0,1.7,10/12/2012
4670.5,40.09,0,1.7,10/13/2012
4671.5,39.28,0,1.7,10/14/2012
4672.5,38.94,0,1.7,10/15/2012
4673.5,41.17,0,1.7,10/16/2012
4674.5,40.88,0,1.7,10/17/2012
4675.5,46.73,0,1.7,10/18/2012
4676.5,47.7,0,1.7,10/19/2012
4677.5,46.72,0,1.7,10/20/2012
4678.5,50.54,0,1.7,10/21/2012
4679.5,74.91,0,1.7,10/22/2012
4680.5,50.17,0,1.7,10/23/2012
4681.5,45.59,0,1.7,10/24/2012
4682.5,46.5,0,1.7,10/25/2012
4683.5,46.27,0,1.7,10/26/2012
4684.5,44.92,0,1.7,10/27/2012
4685.5,46.08,0,1.7,10/28/2012
4686.5,46.86,0,1.7,10/29/2012
4687.5,45.93,0,1.7,10/30/2012
4688.5,45.39,0,1.7,10/31/2012
4689.5,46.37,0,1.7,11/1/2012
4690.5,47.64,0,1.7,11/2/2012
4691.5,46.74,0,1.7,11/3/2012
4692.5,47.93,0,1.7,11/4/2012
4693.5,47.19,0,1.7,11/5/2012
4694.5,47.59,0.09,1.7,11/6/2012
4695.5,47.74,0,1.7,11/7/2012
4696.5,46.42,0,1.7,11/8/2012
4697.5,46.73,0,1.7,11/9/2012
4698.5,46.38,0,1.7,11/10/2012
4699.5,46.19,0,1.7,11/11/2012
4700.5,47.15,0,1.7,11/12/2012
4701.5,47.62,0,1.7,11/13/2012
4702.5,48.43,0,1.7,11/14/2012
4703.5,46.19,0,1.7,11/15/2012
4704.5,47.6,0,1.7,11/16/2012
4705.5,46.75,0,1.7,11/17/2012
4706.5,40.6,0,1.7,11/18/2012
4707.5,45.01,0,1.7,11/19/2012
4708.5,47.5,0,1.7,11/20/2012
4709.5,47.32,0,1.7,11/21/2012
4710.5,47.05,0,1.7,11/22/2012
4711.5,50.06,0,1.7,11/23/2012
4712.5,48.64,0,1.7,11/24/2012
4713.5,46.81,0,1.7,11/25/2012
4714.5,47.96,0,1.7,11/26/2012
4715.5,37.53,10.04,1.7,11/27/2012
4716.5,47.52,0,1.7,11/28/2012
4717.5,45.56,0,1.7,11/29/2012
4718.5,35.19,0,1.7,11/30/2012
4719.5,120.5,0,1.7,12/1/2012
4720.5,113.24,0,1.7,12/2/2012
4721.5,61.37,0,1.7,12/3/2012
4722.5,46.4,0,1.7,12/4/2012
4723.5,45.43,0,1.7,12/5/2012
4724.5,48.76,0,1.7,12/6/2012
4725.5,50.38,0,1.7,12/7/2012
4726.5,50.92,0,1.7,12/8/2012
4727.5,50.42,0,1.7,12/9/2012
4728.5,51.82,0,1.7,12/10/2012
4729.5,54.69,0,1.7,12/11/2012
4730.5,52.14,0,1.7,12/12/2012
4731.5,64.14,0,1.7,12/13/2012
4732.5,66.19,0,1.7,12/14/2012
4733.5,67.14,0,1.7,12/15/2012
4734.5,83.91,0,1.7,12/16/2012
4735.5,111.03,3.72,1.7,12/17/2012
4736.5,129.62,33.55,1.7,12/18/2012
4737.5,136.64,56.82,1.7,12/19/2012
4738.5,137.25,56.28,1.7,12/20/2012
4739.5,133.82,76.23,1.7,12/21/2012
4740.5,133.46,139.47,1.7,12/22/2012
4741.5,134.19,138.46,1.7,12/23/2012
4742.5,138.18,138.76,1.7,12/24/2012
4743.5,138.14,136.83,1.7,12/25/2012
4744.5,132.49,139.22,1.7,12/26/2012
4745.5,141.82,113.82,1.7,12/27/2012
4746.5,141.14,82.14,1.7,12/28/2012
4747.5,137.02,54.65,1.7,12/29/2012
4748.5,133.64,31.36,1.7,12/30/2012
4749.5,133.8,11.8,1.7,12/31/2012
4750.5,134.27,2.24,1.7,1/1/2013
4751.5,92.37,0,1.7,1/2/2013
4752.5,127.65,0,1.7,1/3/2013
4753.5,130.57,0,1.7,1/4/2013
4754.5,114.98,0,1.7,1/5/2013
4755.5,102.88,0,1.7,1/6/2013
4756.5,72.22,30.88,1.7,1/7/2013
4757.5,58.94,44.69,1.7,1/8/2013
4758.5,59.48,43.14,1.7,1/9/2013
4759.5,59.39,42.61,1.7,1/10/2013
4760.5,57.37,47.22,1.7,1/11/2013
4761.5,63.06,44.79,1.7,1/12/2013
4762.5,63.66,45.26,1.7,1/13/2013
4763.5,64.35,36.9,1.7,1/14/2013
4764.5,63.11,21.01,1.7,1/15/2013
4765.5,64.85,6.19,1.7,1/16/2013
4766.5,64.61,0,1.7,1/17/2013
4767.5,65.81,0,1.7,1/18/2013
4768.5,63.31,0,1.7,1/19/2013
4769.5,57.38,0,1.7,1/20/2013
4770.5,59.04,0,1.7,1/21/2013
4771.5,59.15,0,1.7,1/22/2013
4772.5,59,0,1.7,1/23/2013
4773.5,59.44,0,1.7,1/24/2013
4774.5,59.26,0,1.7,1/25/2013
4775.5,59.46,0,1.7,1/26/2013
4776.5,57.76,0,1.7,1/27/2013
4777.5,23.51,35.58,1.7,1/28/2013
4778.5,18.41,41.32,1.7,1/29/2013
4779.5,13.5,46.11,1.7,1/30/2013
4780.5,27.74,31.58,1.7,1/31/2013
4781.5,59.18,0,1.7,2/1/2013
4782.5,60.53,0,1.7,2/2/2013
4783.5,59.36,0,1.7,2/3/2013
4784.5,61.02,0,1.7,2/4/2013
4785.5,61.79,0,1.7,2/5/2013
4786.5,61.36,0,1.7,2/6/2013
4787.5,60.98,0,1.7,2/7/2013
4788.5,61.19,0,1.7,2/8/2013
4789.5,59.8,0,1.7,2/9/2013
4790.5,59.16,0,1.7,2/10/2013
4791.5,59.73,0,1.7,2/11/2013
4792.5,61.26,0,1.7,2/12/2013
4793.5,60.47,0,1.7,2/13/2013
4794.5,61.76,0,1.7,2/14/2013
4795.5,59.43,0,1.7,2/15/2013
4796.5,59.37,0,1.7,2/16/2013
4797.5,59.21,0,1.7,2/17/2013
4798.5,56.73,0,1.7,2/18/2013
4799.5,59.31,0,1.7,2/19/2013
4800.5,53.99,3.55,1.7,2/20/2013
4801.5,59.22,0,1.7,2/21/2013
4802.5,58.78,0,1.7,2/22/2013
4803.5,57.98,0,1.7,2/23/2013
4804.5,58.25,0,1.7,2/24/2013
4805.5,59.5,0,1.7,2/25/2013
4806.5,59.04,0,1.7,2/26/2013
4807.5,58.82,0,1.7,2/27/2013
4808.5,59.6,0,1.7,2/28/2013
4809.5,58.33,0,1.57,3/1/2013
4810.5,57.26,0,1.7,3/2/2013
4811.5,57.62,0,1.7,3/3/2013
4812.5,58.43,0,1.7,3/4/2013
4813.5,58.85,0,1.7,3/5/2013
4814.5,51.46,0,1.7,3/6/2013
4815.5,44.74,0,1.7,3/7/2013
4816.5,46.23,0,1.7,3/8/2013
4817.5,45.9,0,1.7,3/9/2013
4818.5,47.4,0,1.7,3/10/2013
4819.5,47.51,0,1.7,3/11/2013
4820.5,45.49,0,1.7,3/12/2013
4821.5,47.21,0,1.7,3/13/2013
4822.5,46.36,0,1.7,3/14/2013
4823.5,45.45,0,1.7,3/15/2013
4824.5,46.6,0,1.7,3/16/2013
4825.5,47.42,0,1.7,3/17/2013
4826.5,42.99,0,1.7,3/18/2013
4827.5,39,0.77,1.7,3/19/2013
4828.5,33.59,0,1.7,3/20/2013
4829.5,36.02,0,1.7,3/21/2013
4830.5,35.2,0,1.7,3/22/2013
4831.5,29.98,0,1.7,3/23/2013
4832.5,34.03,0,1.7,3/24/2013
4833.5,30.85,0,1.7,3/25/2013
4834.5,13.37,17.49,1.7,3/26/2013
4835.5,8.77,25.43,1.7,3/27/2013
4836.5,16.64,15.07,1.7,3/28/2013
4837.5,18.86,10.13,1.7,3/29/2013
4838.5,27.5,0,1.7,3/30/2013
4839.5,30.86,0,1.7,3/31/2013
4840.5,31.22,1.57,1.65,4/1/2013
4841.5,30.98,0,1.7,4/2/2013
4842.5,32.49,0,1.7,4/3/2013
4843.5,33.19,0,1.7,4/4/2013
4844.5,34.02,0,1.7,4/5/2013
4845.5,34.64,0,1.7,4/6/2013
4846.5,34.18,0,1.7,4/7/2013
4847.5,35.25,0,1.7,4/8/2013
4848.5,34.61,0,1.7,4/9/2013
4849.5,34.71,0,1.7,4/10/2013
4850.5,34.35,0,1.7,4/11/2013
4851.5,34.47,0,1.7,4/12/2013
4852.5,34.82,0,1.7,4/13/2013
4853.5,34.11,0,1.7,4/14/2013
4854.5,34.64,0,1.7,4/15/2013
4855.5,30.7,0,1.7,4/16/2013
4856.5,28.31,0,1.7,4/17/2013
4857.5,28.55,0,1.7,4/18/2013
4858.5,28.94,0,1.7,4/19/2013
4859.5,29.13,0,1.7,4/20/2013
4860.5,29.95,0,1.7,4/21/2013
4861.5,29.99,0,1.7,4/22/2013
4862.5,29.95,0,1.7,4/23/2013
4863.5,29.84,0,1.7,4/24/2013
4864.5,28.6,0,1.7,4/25/2013
4865.5,32.69,0,1.7,4/26/2013
4866.5,34.85,0,1.7,4/27/2013
4867.5,34.37,0,1.7,4/28/2013
4868.5,32.72,0,1.7,4/29/2013
4869.5,29.18,0,1.7,4/30/2013
4870.5,27.32,0,1.7,5/1/2013
4871.5,27.03,0,1.7,5/2/2013
4872.5,27.86,0,1.7,5/3/2013
4873.5,27.44,0,1.7,5/4/2013
4874.5,28.44,0,1.7,5/5/2013
4875.5,27.19,0,1.7,5/6/2013
4876.5,26.99,0,1.7,5/7/2013
4877.5,26.73,0,1.7,5/8/2013
4878.5,26.3,0,1.7,5/9/2013
4879.5,26.65,0,1.7,5/10/2013
4880.5,26.97,0,1.7,5/11/2013
4881.5,25.54,0,1.7,5/12/2013
4882.5,26.65,0,1.7,5/13/2013
4883.5,26.5,0,1.7,5/14/2013
4884.5,28.25,0,1.7,5/15/2013
4885.5,27.7,0,1.7,5/16/2013
4886.5,27.42,0,1.7,5/17/2013
4887.5,26.85,0,1.7,5/18/2013
4888.5,27.18,0,1.7,5/19/2013
4889.5,26.8,0,1.7,5/20/2013
4890.5,25.97,0,1.7,5/21/2013
4891.5,27.4,0,1.7,5/22/2013
4892.5,25.6,0,1.7,5/23/2013
4893.5,26.12,0,1.7,5/24/2013
4894.5,27.05,0,1.7,5/25/2013
4895.5,25.27,0,1.7,5/26/2013
4896.5,27.81,0,1.7,5/27/2013
4897.5,27.34,0,1.7,5/28/2013
4898.5,28.06,0,1.7,5/29/2013
4899.5,29.43,0,1.7,5/30/2013
4900.5,28.18,0,1.7,5/31/2013
4901.5,40.72,0,1.7,6/1/2013
4902.5,40.53,0,1.7,6/2/2013
4903.5,41.05,0.01,1.7,6/3/2013
4904.5,45.05,0,1.7,6/4/2013
4905.5,50.7,0,1.7,6/5/2013
4906.5,66.61,0,1.7,6/6/2013
4907.5,66.67,0,1.7,6/7/2013
4908.5,66.32,0,1.7,6/8/2013
4909.5,64.27,0,1.7,6/9/2013
4910.5,67.17,0,1.7,6/10/2013
4911.5,67.12,0,1.7,6/11/2013
4912.5,67.65,0,1.7,6/12/2013
4913.5,67.67,0,1.7,6/13/2013
4914.5,60.52,0,1.7,6/14/2013
4915.5,59.49,0,1.7,6/15/2013
4916.5,59.65,0,1.7,6/16/2013
4917.5,61.96,0,1.7,6/17/2013
4918.5,61.23,0,1.7,6/18/2013
4919.5,61.66,0,1.7,6/19/2013
4920.5,59,0,1.7,6/20/2013
4921.5,64.07,0,1.7,6/21/2013
4922.5,76.22,0,1.7,6/22/2013
4923.5,73.96,0,1.7,6/23/2013
4924.5,74.78,0,1.7,6/24/2013
4925.5,72.75,0,1.7,6/25/2013
4926.5,73.49,0,1.7,6/26/2013
4927.5,72.7,0,1.7,6/27/2013
4928.5,73.44,0,1.7,6/28/2013
4929.5,75.43,0,1.7,6/29/2013
4930.5,90.86,0,1.7,6/30/2013
4931.5,96.3,0,1.7,7/1/2013
4932.5,93.91,0.01,1.7,7/2/2013
4933.5,95.35,0,1.7,7/3/2013
4934.5,94.47,0,1.7,7/4/2013
4935.5,95.69,0,1.7,7/5/2013
4936.5,95.81,0,1.7,7/6/2013
4937.5,95.04,0,1.7,7/7/2013
4938.5,93.35,0,1.7,7/8/2013
4939.5,98.25,0,1.7,7/9/2013
4940.5,90.55,0,1.7,7/10/2013
4941.5,89.38,0,1.7,7/11/2013
4942.5,86.47,0,1.7,7/12/2013
4943.5,89.89,0,1.7,7/13/2013
4944.5,89.07,0,1.7,7/14/2013
4945.5,88.15,0,1.7,7/15/2013
4946.5,87.63,0,1.7,7/16/2013
4947.5,83.33,0,1.7,7/17/2013
4948.5,85.57,0,1.7,7/18/2013
4949.5,93.99,0,1.7,7/19/2013
4950.5,88.48,0,1.7,7/20/2013
4951.5,86.69,0,1.7,7/21/2013
4952.5,88.58,0,1.7,7/22/2013
4953.5,87.13,0,1.7,7/23/2013
4954.5,87.72,0,1.7,7/24/2013
4955.5,89.05,0,1.7,7/25/2013
4956.5,76.67,0,1.7,7/26/2013
4957.5,75.41,0,1.7,7/27/2013
4958.5,74.11,0,1.7,7/28/2013
4959.5,74.92,0,1.7,7/29/2013
4960.5,74.11,0,1.7,7/30/2013
4961.5,74.35,0,1.7,7/31/2013
4962.5,74.43,0,1.7,8/1/2013
4963.5,74.54,0,1.7,8/2/2013
4964.5,74.21,0,1.7,8/3/2013
4965.5,73.7,0,1.7,8/4/2013
4966.5,75.36,0,1.7,8/5/2013
4967.5,73.96,0,1.7,8/6/2013
4968.5,60.56,0,1.7,8/7/2013
4969.5,67.51,0,1.7,8/8/2013
4970.5,52.94,0,1.7,8/9/2013
4971.5,75.74,0,1.7,8/10/2013
4972.5,75.46,0,1.7,8/11/2013
4973.5,76.45,0,1.7,8/12/2013
4974.5,75.09,0,1.7,8/13/2013
4975.5,73.97,0,1.7,8/14/2013
4976.5,74.81,0,1.7,8/15/2013
4977.5,72.28,0,1.7,8/16/2013
4978.5,74.13,0,1.7,8/17/2013
4979.5,73.95,0,1.7,8/18/2013
4980.5,74.89,0,1.7,8/19/2013
4981.5,72.8,0,1.7,8/20/2013
4982.5,72.85,0,1.7,8/21/2013
4983.5,75.32,0,1.7,8/22/2013
4984.5,73.05,0,1.7,8/23/2013
4985.5,72.77,0,1.7,8/24/2013
4986.5,74.81,0,1.7,8/25/2013
4987.5,74.25,0,1.7,8/26/2013
4988.5,75.57,0,1.7,8/27/2013
4989.5,56.16,0.29,1.7,8/28/2013
4990.5,60.56,0,1.7,8/29/2013
4991.5,59.03,0,1.7,8/30/2013
4992.5,59.22,0,1.7,8/31/2013
4993.5,59.04,0,1.7,9/1/2013
4994.5,46.72,12.09,1.7,9/2/2013
4995.5,60.55,0,1.7,9/3/2013
4996.5,58.68,0,1.7,9/4/2013
4997.5,58.89,0.24,1.7,9/5/2013
4998.5,59.7,0.19,1.7,9/6/2013
4999.5,59.96,0,1.7,9/7/2013
5000.5,59.24,0,1.7,9/8/2013
5001.5,49.91,0,1.7,9/9/2013
5002.5,47.9,0,1.7,9/10/2013
5003.5,44.82,0,1.7,9/11/2013
5004.5,46.23,0,1.7,9/12/2013
5005.5,45.81,0,1.7,9/13/2013
5006.5,46.82,0,1.7,9/14/2013
5007.5,48.04,0,1.7,9/15/2013
5008.5,48.06,0,1.7,9/16/2013
5009.5,48.97,0,1.7,9/17/2013
5010.5,49.12,0,1.7,9/18/2013
5011.5,48.8,0,1.7,9/19/2013
5012.5,41.25,0,1.7,9/20/2013
5013.5,40.24,0,1.7,9/21/2013
5014.5,44.54,0,1.7,9/22/2013
5015.5,43.28,0,1.7,9/23/2013
5016.5,42.09,0,1.7,9/24/2013
5017.5,44.11,0,1.7,9/25/2013
5018.5,43.58,0,1.7,9/26/2013
5019.5,41.83,0,1.7,9/27/2013
5020.5,41.4,0,1.7,9/28/2013
5021.5,42.83,0,1.7,9/29/2013
5022.5,44.18,0,1.7,9/30/2013
5023.5,42.06,0,1.7,10/1/2013
5024.5,43.66,0,1.7,10/2/2013
5025.5,38.34,0,1.7,10/3/2013
5026.5,36.97,0,1.7,10/4/2013
5027.5,37.26,0,1.7,10/5/2013
5028.5,38.92,0,1.7,10/6/2013
5029.5,37.82,0,1.7,10/7/2013
5030.5,37.02,0,1.7,10/8/2013
5031.5,36.86,0,1.7,10/9/2013
5032.5,37.31,0,1.7,10/10/2013
5033.5,41.42,0,1.7,10/11/2013
5034.5,35.24,0,1.7,10/12/2013
5035.5,36.16,0,1.7,10/13/2013
5036.5,39.02,0,1.7,10/14/2013
5037.5,36.78,0,1.7,10/15/2013
